mode,degree,impl,startup_ms,wall_ms,kernel_ms
A,1,gint,0.153,0.1535,0.1468
A,2,gint,0.153,0.1545,0.1472
A,4,gint,0.162,0.1543,0.1470
A,8,gint,0.152,0.1532,0.1460
A,16,gint,0.169,0.1891,0.1835
A,32,gint,0.261,0.3064,0.3021
A,64,gint,0.275,0.5515,0.5431
A,128,gint,0.488,1.0299,1.0290
A,256,gint,0.836,1.9898,1.9844
B,1,gint,0.172,0.2905,0.2840
B,2,gint,0.286,0.3791,0.3726
B,4,gint,0.157,0.5931,0.5857
B,8,gint,0.168,1.0217,1.0148
B,16,gint,0.182,1.8936,1.8854
B,32,gint,0.268,3.6467,3.6399
B,64,gint,0.367,7.1663,7.1584
B,128,gint,0.573,14.2402,14.2329
B,256,gint,0.878,28.3389,28.3079
C,1,gint,0.172,0.1524,0.1456
C,2,gint,0.162,0.1541,0.1496
C,4,gint,0.205,0.1806,0.1759
C,8,gint,0.140,0.2630,0.2588
C,16,gint,0.162,0.4256,0.4218
C,32,gint,0.201,0.7522,0.7485
C,64,gint,0.319,1.4080,1.4013
C,128,gint,0.526,2.7143,2.7076
C,256,gint,0.866,5.3262,5.3204
D,1,gint,0.159,0.1529,0.1459
D,2,gint,0.150,0.1531,0.1459
D,4,gint,0.150,0.1534,0.1462
D,8,gint,0.141,0.1948,0.1908
D,16,gint,0.289,0.2883,0.2843
D,32,gint,0.225,0.4997,0.4977
D,64,gint,0.343,0.9268,0.9220
D,128,gint,0.556,1.7753,1.7703
D,256,gint,0.811,3.4720,3.4711
E,1,gint,0.175,0.2918,0.2849
E,2,gint,0.168,0.4042,0.3969
E,4,gint,0.353,0.5928,0.5855
E,8,gint,0.181,1.0192,1.0119
E,16,gint,0.186,1.8820,1.8751
E,32,gint,0.311,3.6164,3.6097
E,64,gint,0.391,7.1049,7.1028
E,128,gint,0.495,14.1172,14.1118
E,256,gint,1.135,28.1268,28.1179
